,monthly_income,monthly_expense_total,savings_rate,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,income_type,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
845,2683.18,4510.74,0.29,inflation,667.0,0.26,554.46,758.19,5,1762.8,21,0,Salary,Positive,35.1,Medium,0.0,0
846,6721.85,3545.71,0.11,inflation,653.0,0.14,701.41,161.24,8,1926.65,57,0,Salary,Positive,26.3,Low,3176.14,1
847,4316.44,3157.77,0.18,normal,754.0,0.22,430.81,0.0,2,1437.24,53,0,Salary,Positive,2.6,Medium,1158.67,0
848,4853.09,3691.65,0.2,normal,723.0,0.17,638.97,262.1,9,1478.05,20,0,Salary,Positive,84.9,Medium,1161.44,0
849,4190.03,2549.08,0.4,normal,725.0,0.13,413.88,192.72,9,1584.57,82,0,Salary,Positive,12.6,Medium,1640.95,0
850,5303.49,3706.63,0.13,normal,678.0,0.22,626.35,470.88,7,770.83,66,0,Salary,Negative,11.6,Low,1596.86,0
851,3766.15,4153.67,0.33,normal,608.0,0.38,250.14,522.36,6,476.18,61,0,Mixed,Neutral,89.5,Low,0.0,0
852,2264.88,2096.54,0.19,inflation,755.0,0.4,188.86,887.66,6,112.96,60,0,Freelance,Positive,32.8,Low,168.34,0
853,4210.93,3379.3,0.2,inflation,732.0,0.5,749.5,291.58,7,559.7,71,0,Salary,Positive,6.6,Low,831.63,0
854,3160.51,4038.02,0.35,normal,736.0,0.54,519.39,134.97,4,1029.3,24,0,Freelance,Neutral,80.7,Low,0.0,0
855,4797.88,2182.62,0.18,recession,645.0,0.21,236.42,149.96,4,1347.91,86,0,Salary,Positive,0.6,High,2615.26,0
856,3130.77,3962.61,0.08,inflation,717.0,0.12,720.65,417.85,2,2191.34,44,0,Freelance,Positive,53.7,Low,0.0,0
857,3965.82,4953.48,0.21,normal,583.0,0.39,397.29,633.23,9,562.98,85,0,Salary,Neutral,31.2,Medium,0.0,0
858,4398.16,2171.24,0.09,normal,738.0,0.25,577.78,256.25,2,1943.22,68,0,Salary,Negative,21.9,Low,2226.92,1
859,5397.7,3323.68,0.29,normal,767.0,0.26,383.68,651.95,5,608.81,83,0,Mixed,Positive,74.9,Medium,2074.02,0
860,2819.15,2695.53,0.3,normal,598.0,0.19,366.2,0.0,7,950.99,93,0,Freelance,Positive,14.3,Medium,123.62,0
861,5312.17,2389.62,0.28,normal,664.0,0.42,555.75,791.86,3,709.86,62,0,Salary,Positive,5.7,Medium,2922.55,1
862,3999.61,2306.46,0.19,recession,621.0,0.33,631.92,302.89,3,310.95,84,0,Salary,Positive,13.0,Low,1693.15,0
863,4091.69,1648.23,0.35,inflation,597.0,0.5,261.83,586.18,6,966.08,62,0,Salary,Negative,44.4,Low,2443.46,0
864,2663.41,1965.23,0.31,inflation,620.0,0.36,594.45,476.33,9,1178.12,22,0,Salary,Neutral,90.1,Low,698.18,0
865,3353.89,1413.99,0.08,normal,650.0,0.13,753.58,745.22,4,410.35,22,0,Salary,Neutral,92.8,Medium,1939.9,0
866,3123.1,2050.47,0.14,normal,645.0,0.23,742.91,620.34,3,1447.93,73,0,Salary,Neutral,74.7,High,1072.63,0
867,2989.32,2904.95,0.05,recession,710.0,0.12,227.87,372.47,9,782.78,31,0,Salary,Negative,74.2,Medium,84.37,0
868,2165.57,3373.54,0.08,normal,687.0,0.56,288.96,126.86,2,1642.24,40,0,Salary,Negative,62.2,Low,0.0,0
869,2995.55,2425.14,0.13,normal,726.0,0.21,555.74,381.08,7,836.35,67,0,Salary,Neutral,46.5,Low,570.41,0
870,3897.53,3466.13,0.34,recession,776.0,0.44,636.59,410.64,1,1205.41,72,0,Salary,Negative,30.7,High,431.4,0
871,4114.49,3330.8,0.21,recession,701.0,0.23,531.71,246.18,3,1577.94,43,0,Salary,Positive,47.8,Low,783.69,0
872,3788.81,3265.87,0.1,inflation,642.0,0.13,385.77,530.05,1,890.12,46,1,Salary,Positive,15.2,Medium,522.94,0
873,3471.8,4290.52,0.22,recession,579.0,0.18,285.69,590.11,6,952.09,51,0,Salary,Positive,71.0,Low,0.0,0
874,3489.98,3478.88,0.35,normal,633.0,0.5,655.63,604.46,4,1200.67,34,0,Salary,Negative,71.9,High,11.1,0
875,4234.68,3634.7,0.23,normal,630.0,0.39,411.87,0.0,2,1648.98,98,0,Salary,Negative,30.7,Low,599.98,0
876,6292.41,3382.48,0.12,normal,701.0,0.52,158.59,308.77,7,922.38,92,0,Freelance,Negative,20.5,High,2909.93,1
877,3208.88,2980.67,0.38,normal,742.0,0.45,110.92,371.97,1,698.05,52,0,Salary,Positive,96.9,High,228.21,0
878,4118.35,3206.11,0.09,normal,654.0,0.58,353.98,288.49,3,438.27,95,0,Salary,Positive,86.5,Low,912.24,0
879,3493.23,2715.97,0.15,normal,686.0,0.28,711.12,263.23,8,1440.77,74,0,Freelance,Positive,81.0,Low,777.26,0
880,2503.18,3240.64,0.33,normal,645.0,0.52,557.3,349.59,3,772.95,23,0,Freelance,Positive,35.7,Medium,0.0,0
881,4784.25,1063.88,0.18,normal,684.0,0.5,222.98,447.57,8,1033.63,57,0,Freelance,Positive,3.0,Low,3720.37,1
882,5721.48,3148.92,0.4,recession,732.0,0.6,906.09,386.99,1,756.11,73,0,Salary,Positive,46.2,High,2572.56,0
883,5641.88,2571.85,0.28,inflation,765.0,0.25,748.64,0.0,7,2020.27,90,0,Salary,Positive,76.1,Low,3070.03,1
884,4171.99,2191.17,0.33,recession,641.0,0.53,521.78,476.34,4,1454.54,57,0,Mixed,Positive,36.3,Low,1980.82,0
885,3585.61,2389.76,0.32,normal,782.0,0.52,480.07,258.28,4,1580.71,43,0,Salary,Negative,86.0,Medium,1195.85,0
886,3688.36,1658.22,0.22,inflation,734.0,0.34,525.42,442.05,7,1381.41,72,0,Salary,Positive,82.7,Low,2030.14,0
887,3856.87,2783.08,0.4,normal,705.0,0.39,412.18,531.27,8,1292.65,68,0,Salary,Positive,34.6,Medium,1073.79,0
888,3536.81,2556.68,0.26,recession,641.0,0.29,845.54,445.26,8,1745.01,68,0,Salary,Positive,72.4,Low,980.13,0
889,4996.59,3278.59,0.27,normal,696.0,0.25,717.69,685.89,4,1560.59,61,0,Salary,Positive,2.3,Low,1718.0,0
890,4130.8,3446.5,0.25,inflation,734.0,0.49,496.29,0.0,2,1092.15,47,0,Freelance,Positive,32.6,Medium,684.3,0
891,5428.34,2846.96,0.29,inflation,647.0,0.35,250.59,290.18,9,592.38,61,0,Salary,Positive,76.7,Low,2581.38,0
892,3061.36,3685.67,0.24,normal,751.0,0.58,256.4,760.52,4,1314.26,56,0,Salary,Positive,57.9,Medium,0.0,0
893,4011.29,4790.33,0.4,normal,693.0,0.22,316.08,0.0,6,1210.38,68,0,Salary,Negative,80.5,Medium,0.0,0
894,5623.07,3345.52,0.08,recession,706.0,0.49,514.39,924.76,2,828.07,26,0,Salary,Neutral,36.1,Low,2277.55,1
895,3856.03,2716.07,0.22,normal,724.0,0.42,373.62,47.13,6,1085.73,56,0,Mixed,Negative,25.7,Low,1139.96,0
896,3652.17,3353.63,0.33,normal,708.0,0.29,781.52,350.41,1,1388.89,60,0,Salary,Positive,40.0,High,298.54,0
897,4701.87,3653.78,0.24,inflation,680.0,0.49,396.26,18.17,1,1289.83,48,0,Freelance,Neutral,94.0,High,1048.09,0
898,3792.48,3748.54,0.25,normal,610.0,0.1,602.71,775.47,2,1331.23,35,0,Freelance,Negative,19.6,Medium,43.94,0
899,3821.93,1798.56,0.36,normal,621.0,0.1,396.48,621.16,9,1107.38,59,0,Salary,Negative,77.8,Low,2023.37,0
900,3922.4,3430.29,0.09,normal,702.0,0.38,512.24,509.9,2,631.21,65,0,Salary,Positive,12.4,Low,492.11,0
901,3830.55,4707.09,0.21,normal,660.0,0.19,525.8,369.84,7,1337.6,81,0,Freelance,Positive,65.9,Low,0.0,0
902,6598.46,2639.61,0.12,normal,600.0,0.5,399.31,389.35,3,777.29,93,0,Freelance,Positive,26.3,Medium,3958.85,1
903,5028.45,4475.26,0.22,normal,699.0,0.4,1045.07,171.64,1,1305.32,65,0,Salary,Neutral,35.9,High,553.19,0
904,4499.01,2533.78,0.35,normal,641.0,0.15,819.17,273.25,9,1359.65,46,0,Salary,Negative,46.1,Low,1965.23,0
905,6382.64,3624.26,0.27,inflation,678.0,0.58,333.32,552.92,8,404.35,63,0,Salary,Negative,37.8,Medium,2758.38,1
906,4343.69,2591.83,0.25,inflation,765.0,0.38,526.96,106.21,6,703.81,99,0,Salary,Negative,78.9,Low,1751.86,0
907,4554.87,2478.1,0.21,normal,552.0,0.28,287.51,151.75,4,878.76,90,0,Salary,Neutral,48.3,Medium,2076.77,0
908,5290.5,3598.39,0.22,normal,822.0,0.28,603.13,229.16,6,1055.61,59,0,Salary,Positive,29.7,High,1692.11,0
909,2315.79,2489.11,0.27,recession,735.0,0.29,590.73,0.0,9,764.82,88,0,Salary,Positive,14.1,Low,0.0,0
910,4842.78,3005.7,0.24,recession,562.0,0.36,883.06,331.25,1,724.48,65,0,Freelance,Neutral,94.3,Medium,1837.08,0
911,4788.35,3338.91,0.19,normal,750.0,0.37,517.34,525.99,1,1218.2,70,0,Salary,Positive,33.4,Low,1449.44,0
912,3523.77,2486.14,0.16,normal,683.0,0.43,303.91,257.87,3,1088.74,20,0,Salary,Positive,37.7,Medium,1037.63,0
913,3805.5,3553.07,0.08,normal,651.0,0.23,723.55,298.68,6,469.05,32,0,Freelance,Neutral,1.9,High,252.43,0
914,4714.82,2041.84,0.05,normal,687.0,0.33,355.45,380.48,3,849.65,57,0,Mixed,Positive,82.7,Low,2672.98,1
915,5689.03,2454.22,0.1,inflation,686.0,0.11,550.69,468.14,3,1868.19,50,0,Mixed,Positive,46.4,Low,3234.81,1
916,4744.36,2837.84,0.35,recession,704.0,0.57,581.99,322.26,8,681.49,64,0,Salary,Neutral,7.5,Low,1906.52,0
917,3881.49,3167.81,0.05,recession,705.0,0.22,239.12,251.37,5,295.57,36,0,Salary,Neutral,98.8,Low,713.68,0
918,2030.17,3011.2,0.33,recession,732.0,0.13,208.77,266.76,8,1413.98,20,0,Salary,Neutral,81.3,Low,0.0,0
919,5221.04,2290.23,0.29,normal,747.0,0.32,302.95,345.1,1,1237.23,71,0,Salary,Positive,5.9,High,2930.81,1
920,1333.75,2384.17,0.33,normal,650.0,0.43,613.31,827.64,4,510.91,56,0,Salary,Negative,2.8,Low,0.0,0
921,3496.23,2432.22,0.3,normal,630.0,0.36,967.21,490.58,5,996.5,52,0,Salary,Positive,1.1,Medium,1064.01,0
922,3334.65,3458.14,0.24,normal,670.0,0.39,728.05,315.16,2,1069.07,35,0,Salary,Positive,76.5,Low,0.0,0
923,4605.31,2561.93,0.27,inflation,624.0,0.15,459.19,253.28,5,1463.72,80,0,Salary,Positive,49.5,High,2043.38,0
924,4316.82,3802.62,0.07,normal,787.0,0.35,257.02,0.0,2,710.78,78,0,Salary,Positive,62.8,Medium,514.2,0
925,4437.88,3401.22,0.14,normal,713.0,0.54,580.18,26.42,7,1269.92,30,0,Salary,Negative,96.9,Low,1036.66,0
926,6901.16,4122.09,0.08,normal,758.0,0.32,531.53,488.44,7,1436.17,30,0,Salary,Negative,32.3,High,2779.07,1
927,3561.39,2895.72,0.24,normal,653.0,0.23,729.18,108.59,9,1095.68,42,0,Freelance,Positive,85.8,High,665.67,0
928,3960.08,3798.98,0.21,recession,613.0,0.44,329.81,665.16,4,1201.82,90,0,Salary,Negative,74.8,Medium,161.1,0
929,3073.53,2900.26,0.33,normal,639.0,0.39,760.16,514.88,3,1455.76,67,0,Salary,Positive,1.1,Low,173.27,0
930,4492.58,2890.4,0.07,normal,595.0,0.37,672.05,393.81,8,448.07,56,0,Salary,Positive,18.1,Low,1602.18,0
931,4753.76,1017.04,0.06,normal,626.0,0.4,459.42,586.01,1,776.6,90,0,Freelance,Negative,52.5,Medium,3736.72,1
932,3268.37,3395.71,0.2,inflation,635.0,0.42,441.62,161.38,8,1177.17,95,0,Salary,Negative,56.7,High,0.0,0
933,4726.02,2220.67,0.22,recession,709.0,0.5,534.19,412.02,3,1394.02,33,0,Salary,Positive,47.6,Medium,2505.35,1
934,4075.23,1152.24,0.4,normal,671.0,0.43,434.12,370.53,7,1487.26,80,0,Salary,Neutral,75.7,Low,2922.99,0
935,5131.05,3785.65,0.16,recession,668.0,0.47,364.78,522.63,5,1076.92,75,0,Salary,Neutral,90.7,Low,1345.4,0
936,4297.15,3165.47,0.22,inflation,693.0,0.21,416.23,449.68,1,1284.27,65,0,Salary,Positive,90.1,Medium,1131.68,0
937,3454.17,2425.12,0.15,normal,680.0,0.54,658.93,534.41,8,504.36,32,0,Salary,Positive,98.1,High,1029.05,0
938,4859.54,3578.86,0.12,normal,711.0,0.13,645.39,233.26,7,1010.71,44,0,Salary,Neutral,86.3,Medium,1280.68,0
939,2642.03,3856.75,0.15,recession,715.0,0.35,447.08,11.87,5,2286.29,50,0,Salary,Positive,32.8,Medium,0.0,0
940,3718.62,3287.42,0.24,normal,730.0,0.51,790.44,626.31,5,365.31,90,0,Salary,Positive,19.9,High,431.2,0
941,3706.82,2593.66,0.09,normal,640.0,0.28,95.35,152.18,8,916.94,82,0,Salary,Negative,19.6,Low,1113.16,0
942,3478.13,4264.46,0.16,recession,766.0,0.25,563.31,602.56,4,1176.73,94,0,Salary,Neutral,72.2,Low,0.0,0
943,2812.22,2208.34,0.32,normal,716.0,0.14,393.46,384.95,9,624.13,26,0,Salary,Positive,14.3,Medium,603.88,0
944,4206.61,4421.55,0.09,recession,744.0,0.57,459.62,576.26,2,1074.25,38,0,Salary,Negative,87.8,Medium,0.0,0
945,3885.65,2998.3,0.19,normal,628.0,0.12,654.25,295.71,6,172.79,92,0,Salary,Positive,93.8,Medium,887.35,0
946,3667.15,2130.24,0.25,inflation,709.0,0.27,173.04,396.02,8,722.03,73,0,Salary,Positive,97.1,High,1536.91,0
947,3450.7,2302.19,0.16,normal,657.0,0.42,436.23,608.75,1,1398.63,45,0,Salary,Neutral,37.7,Low,1148.51,0
948,3502.85,3047.54,0.23,inflation,638.0,0.57,439.59,538.46,3,254.01,85,1,Salary,Positive,58.9,Low,455.31,0
949,3249.9,3808.7,0.1,recession,813.0,0.38,762.35,258.92,7,958.25,82,0,Salary,Positive,91.3,High,0.0,0
950,2840.37,2709.15,0.26,normal,697.0,0.26,433.33,442.68,4,791.6,60,0,Salary,Positive,52.6,Low,131.22,0
951,3233.77,1646.82,0.17,inflation,705.0,0.22,878.54,154.61,1,0.0,22,0,Mixed,Neutral,74.8,Medium,1586.95,0
952,2036.57,4559.61,0.23,normal,675.0,0.22,526.46,717.87,3,452.75,93,0,Salary,Positive,77.0,Low,0.0,0
953,4472.59,1321.97,0.2,normal,634.0,0.54,241.16,345.43,9,492.84,97,0,Salary,Positive,57.7,Medium,3150.62,0
954,4480.67,2492.74,0.09,normal,644.0,0.4,536.79,547.43,7,434.1,35,0,Salary,Positive,80.5,Medium,1987.93,0
955,4660.79,3880.61,0.3,inflation,642.0,0.29,461.27,458.26,9,824.4,50,0,Salary,Negative,46.6,Medium,780.18,0
956,4493.53,3739.58,0.25,normal,667.0,0.43,202.61,468.63,3,662.25,73,0,Salary,Neutral,70.1,Low,753.95,0
957,4897.24,3723.44,0.27,inflation,721.0,0.32,388.29,199.31,4,1119.7,61,0,Salary,Positive,10.7,Low,1173.8,0
958,6577.71,3415.79,0.34,recession,787.0,0.32,471.39,651.29,8,371.98,37,0,Salary,Neutral,92.6,Medium,3161.92,1
959,3717.91,2049.8,0.31,normal,692.0,0.32,413.0,626.19,2,817.84,97,0,Salary,Positive,10.5,Medium,1668.11,0
960,2459.45,1997.77,0.11,normal,594.0,0.53,710.37,573.77,2,481.0,41,0,Freelance,Neutral,50.4,Low,461.68,0
961,5296.21,3338.49,0.32,inflation,725.0,0.18,315.97,911.24,9,649.54,35,0,Mixed,Negative,89.7,Low,1957.72,0
962,3900.81,2658.08,0.08,recession,624.0,0.46,268.88,643.82,2,1536.07,45,0,Salary,Positive,11.1,High,1242.73,0
963,6004.68,2104.88,0.11,inflation,705.0,0.37,572.74,778.81,1,516.94,26,0,Freelance,Negative,11.3,Low,3899.8,1
964,5560.87,2735.66,0.18,inflation,705.0,0.21,602.44,836.38,2,1454.36,83,0,Salary,Negative,82.9,Low,2825.21,1
965,4093.76,2343.05,0.25,normal,694.0,0.22,660.9,31.6,6,409.42,42,0,Salary,Neutral,83.6,Low,1750.71,0
966,5904.98,2453.74,0.25,normal,657.0,0.56,771.88,199.68,3,557.3,77,0,Salary,Positive,47.3,Low,3451.24,1
967,4773.79,3260.39,0.15,normal,709.0,0.57,681.66,239.54,9,89.82,82,1,Salary,Positive,33.2,Medium,1513.4,0
968,4782.36,2279.8,0.08,normal,681.0,0.29,191.94,459.47,5,906.01,69,0,Freelance,Positive,97.1,Medium,2502.56,1
969,5370.44,3621.65,0.16,normal,717.0,0.12,663.98,0.0,1,132.26,20,0,Mixed,Negative,74.4,Medium,1748.79,0
970,5777.42,4027.9,0.18,inflation,748.0,0.47,656.06,506.07,5,784.77,34,0,Salary,Positive,97.6,Low,1749.52,0
971,5007.12,3310.31,0.15,normal,712.0,0.42,630.31,234.67,2,1520.99,47,0,Salary,Positive,69.1,Low,1696.81,0
972,4286.35,3701.82,0.31,recession,696.0,0.34,1053.91,266.38,6,1601.0,38,0,Salary,Negative,22.5,Medium,584.53,0
973,5252.02,1576.39,0.22,normal,691.0,0.34,704.57,373.61,7,509.68,52,0,Salary,Negative,42.9,High,3675.63,1
974,4099.25,3721.13,0.39,normal,668.0,0.37,340.21,426.0,3,1445.92,25,0,Salary,Positive,97.4,High,378.12,0
975,3213.26,1793.93,0.1,recession,674.0,0.38,911.02,1020.87,6,86.37,51,0,Salary,Positive,12.9,Low,1419.33,0
976,4712.63,2307.9,0.2,normal,615.0,0.22,184.54,605.21,5,1318.93,83,0,Freelance,Positive,85.3,Low,2404.73,0
977,4136.61,2958.28,0.39,inflation,725.0,0.45,761.91,399.58,1,445.02,84,0,Mixed,Positive,28.0,Medium,1178.33,0
978,4226.39,2227.67,0.23,normal,669.0,0.32,456.41,505.93,8,603.55,61,0,Salary,Positive,40.6,Low,1998.72,0
979,3297.15,2774.64,0.1,normal,763.0,0.54,336.07,681.8,8,282.13,25,0,Mixed,Negative,2.5,Medium,522.51,0
980,2854.93,2346.82,0.08,normal,702.0,0.3,570.15,613.62,3,1621.22,32,0,Salary,Negative,80.5,Medium,508.11,0
981,3091.21,3412.58,0.27,inflation,706.0,0.51,550.27,370.47,5,1697.6,32,0,Salary,Positive,49.4,High,0.0,0
982,3731.11,1565.67,0.21,recession,757.0,0.43,554.81,292.9,9,1509.93,38,0,Salary,Negative,66.1,Low,2165.44,0
983,4043.8,3624.0,0.4,normal,669.0,0.12,454.12,176.46,6,1678.9,95,0,Salary,Positive,67.6,Low,419.8,0
984,6506.77,3037.56,0.16,normal,671.0,0.23,681.78,143.61,4,1119.0,59,0,Salary,Positive,62.3,Medium,3469.21,0
985,1957.14,3683.59,0.32,recession,647.0,0.33,118.24,132.06,7,1227.94,35,0,Salary,Positive,15.8,Medium,0.0,0
986,3890.29,3315.21,0.33,inflation,718.0,0.42,309.56,195.56,2,665.41,62,0,Salary,Positive,19.4,High,575.08,0
987,3804.77,3021.33,0.24,normal,547.0,0.56,274.53,487.84,7,471.83,79,1,Salary,Positive,99.3,Low,783.44,0
988,3050.34,2828.2,0.07,inflation,645.0,0.45,768.89,183.52,5,1675.32,46,0,Salary,Negative,51.1,High,222.14,0
989,2967.7,3150.82,0.38,inflation,610.0,0.37,530.85,331.37,1,155.63,47,0,Freelance,Neutral,34.1,Medium,0.0,0
990,2554.47,2592.84,0.17,inflation,677.0,0.38,812.38,409.2,4,1326.54,55,0,Salary,Positive,87.0,Low,0.0,0
991,4987.0,2570.0,0.16,recession,636.0,0.25,828.78,442.9,3,1420.45,95,0,Mixed,Negative,75.9,High,2417.0,0
992,3636.72,2250.29,0.4,normal,659.0,0.11,682.15,151.9,6,1669.71,99,0,Salary,Neutral,82.1,Low,1386.43,0
993,3500.91,4130.36,0.37,normal,738.0,0.4,833.44,612.71,6,979.74,60,0,Salary,Positive,40.4,Medium,0.0,0
994,2292.67,2613.5,0.22,recession,732.0,0.55,287.29,511.27,3,600.82,73,0,Freelance,Negative,39.1,Low,0.0,0
995,4879.06,3026.35,0.16,normal,674.0,0.16,673.95,285.13,7,981.46,35,0,Salary,Negative,33.2,Low,1852.71,0
996,4181.87,2448.13,0.08,inflation,649.0,0.42,519.13,945.01,5,1117.69,27,0,Salary,Positive,5.3,Medium,1733.74,0
997,2884.27,3415.61,0.2,recession,631.0,0.19,672.31,394.98,8,696.64,55,0,Salary,Positive,10.2,High,0.0,0
998,3495.12,3507.61,0.22,normal,696.0,0.39,883.06,353.65,4,926.41,63,0,Salary,Neutral,25.3,High,0.0,0
999,4297.09,3052.68,0.38,normal,666.0,0.4,550.85,378.06,2,1219.18,47,0,Salary,Negative,87.9,Medium,1244.41,0
1000,2827.7,3448.11,0.08,normal,713.0,0.2,1095.26,536.3,9,1142.83,35,0,Mixed,Neutral,27.7,Medium,0.0,0
1001,5052.02,2074.7,0.25,inflation,701.0,0.54,518.4,728.55,9,1542.49,89,0,Mixed,Positive,86.9,Low,2977.32,0
1002,3817.1,3217.37,0.06,normal,740.0,0.17,583.62,0.0,1,1611.07,84,0,Salary,Positive,63.2,High,599.73,0
1003,3275.11,3754.08,0.38,recession,711.0,0.41,393.83,233.59,8,804.64,59,0,Freelance,Negative,59.8,Low,0.0,0
1004,3998.27,1418.84,0.19,inflation,713.0,0.57,665.39,247.12,1,581.46,27,0,Mixed,Neutral,33.4,High,2579.43,0
1005,3173.08,2490.55,0.38,recession,658.0,0.27,686.61,344.78,8,579.55,30,0,Salary,Positive,26.5,Low,682.53,0
1006,3845.92,4105.88,0.08,inflation,665.0,0.23,521.66,552.87,2,427.29,76,0,Salary,Neutral,61.4,Low,0.0,0
1007,4139.21,2260.29,0.31,normal,706.0,0.22,20.53,77.3,8,1817.67,64,0,Salary,Positive,19.7,High,1878.92,0
1008,3469.67,3110.26,0.14,recession,682.0,0.37,324.11,411.23,4,1141.4,79,0,Salary,Positive,16.7,High,359.41,0
1009,5461.23,2857.86,0.06,inflation,773.0,0.3,470.75,480.29,9,353.31,91,0,Salary,Negative,64.5,High,2603.37,0
1010,3066.2,2719.13,0.22,normal,737.0,0.49,441.31,89.63,5,357.35,69,0,Freelance,Neutral,67.1,Low,347.07,0
1011,5312.24,3109.78,0.06,inflation,741.0,0.6,326.68,326.3,9,1320.11,58,0,Salary,Negative,70.9,High,2202.46,0
1012,4883.87,3204.05,0.28,normal,585.0,0.42,666.53,559.91,9,862.09,83,0,Salary,Negative,18.2,Low,1679.82,0
1013,4533.63,2861.93,0.11,normal,620.0,0.14,743.08,304.7,9,650.38,67,0,Mixed,Positive,0.1,Medium,1671.7,0
1014,5002.97,2638.45,0.06,normal,689.0,0.39,522.86,381.0,1,762.97,43,0,Salary,Negative,70.1,Medium,2364.52,0
1015,5446.06,1940.35,0.3,normal,691.0,0.39,701.93,566.92,6,1754.0,72,1,Salary,Positive,67.3,Low,3505.71,0
1016,1394.59,2700.13,0.11,inflation,705.0,0.36,731.79,298.95,6,659.42,97,0,Freelance,Positive,33.4,Medium,0.0,0
1017,3443.21,4512.55,0.06,normal,721.0,0.21,426.84,420.61,7,1081.39,26,0,Salary,Positive,32.2,High,0.0,0
1018,2971.84,4285.42,0.27,inflation,606.0,0.25,624.85,251.53,3,1225.59,51,0,Salary,Positive,46.8,Low,0.0,0
1019,3076.59,2690.71,0.29,recession,764.0,0.43,707.03,284.49,4,1590.81,61,0,Freelance,Positive,70.9,Low,385.88,0
1020,2999.61,4736.83,0.09,recession,643.0,0.12,575.37,116.1,4,1951.79,34,0,Freelance,Negative,63.0,Low,0.0,0
1021,1649.12,3616.05,0.34,normal,645.0,0.46,856.95,0.0,2,0.0,55,0,Freelance,Positive,89.2,High,0.0,0
1022,3264.57,2994.7,0.33,inflation,607.0,0.2,1160.63,553.92,3,1244.48,48,0,Mixed,Positive,54.1,Low,269.87,0
1023,3517.89,3736.31,0.17,normal,666.0,0.51,266.35,464.74,6,0.0,89,0,Salary,Positive,26.6,Low,0.0,0
1024,2256.07,2411.77,0.28,normal,646.0,0.21,716.82,407.9,8,291.02,46,0,Mixed,Negative,79.0,Medium,0.0,0
1025,5969.4,2768.71,0.29,inflation,631.0,0.34,570.72,275.68,2,676.38,52,0,Salary,Positive,14.5,Medium,3200.69,1
1026,5029.99,3890.02,0.12,normal,643.0,0.57,598.04,583.82,3,1033.75,69,0,Salary,Positive,89.7,Low,1139.97,0
1027,2312.95,3945.06,0.14,normal,731.0,0.36,349.9,521.98,5,0.0,29,0,Salary,Positive,0.6,Medium,0.0,0
1028,3482.26,3200.29,0.29,inflation,617.0,0.18,181.27,562.4,8,669.44,76,0,Salary,Negative,83.6,Low,281.97,0
1029,3354.24,3694.49,0.25,normal,644.0,0.57,792.28,34.77,5,162.94,85,0,Salary,Negative,28.5,Low,0.0,0
1030,3480.16,3775.44,0.1,normal,639.0,0.1,772.91,427.53,1,1023.36,76,0,Salary,Positive,86.5,Low,0.0,0
1031,3803.28,3323.07,0.15,normal,648.0,0.29,44.63,158.54,2,1334.9,91,0,Salary,Neutral,37.1,Low,480.21,0
1032,2521.17,2507.68,0.09,inflation,567.0,0.27,631.99,11.25,3,1138.08,52,0,Salary,Positive,27.6,Medium,13.49,0
1033,5866.09,2721.01,0.06,inflation,703.0,0.17,712.0,0.0,8,1164.18,41,0,Salary,Neutral,18.9,Low,3145.08,1
1034,5258.99,2632.55,0.29,normal,640.0,0.41,321.09,377.43,5,1926.59,69,0,Freelance,Positive,86.3,Low,2626.44,1
1035,4067.93,3038.68,0.31,inflation,636.0,0.14,683.68,284.02,3,1095.55,79,0,Freelance,Negative,23.2,Low,1029.25,0
1036,3914.89,3911.52,0.39,normal,623.0,0.52,416.89,510.11,2,636.46,86,0,Freelance,Positive,13.5,Low,3.37,0
1037,4488.85,4399.84,0.39,normal,714.0,0.18,809.59,767.54,3,1099.68,71,0,Salary,Positive,87.3,High,89.01,0
1038,4617.04,3659.12,0.26,normal,761.0,0.44,559.62,421.09,1,384.99,30,0,Salary,Positive,62.4,Medium,957.92,0
1039,4010.68,2836.56,0.37,normal,723.0,0.57,196.92,0.0,2,309.71,54,0,Salary,Positive,20.5,Low,1174.12,0
1040,6619.89,3812.53,0.05,normal,722.0,0.32,514.94,111.35,9,1346.38,82,0,Salary,Positive,46.8,Low,2807.36,1
1041,4660.54,1098.96,0.25,normal,622.0,0.58,215.86,324.53,3,1754.83,35,0,Freelance,Neutral,97.4,Low,3561.58,1
1042,2384.25,3799.43,0.39,recession,787.0,0.14,549.54,714.83,8,0.0,31,0,Salary,Positive,7.3,High,0.0,0
1043,3286.94,3863.16,0.4,inflation,779.0,0.31,437.4,344.67,8,1518.98,51,0,Salary,Neutral,78.9,Medium,0.0,0
1044,4244.86,3184.46,0.29,normal,587.0,0.32,735.04,929.57,7,727.61,81,0,Salary,Negative,72.7,High,1060.4,0
1045,3007.28,1754.01,0.19,normal,644.0,0.36,396.32,1056.53,9,999.69,92,0,Salary,Neutral,37.9,Medium,1253.27,0
1046,3022.18,3194.35,0.26,inflation,670.0,0.43,490.28,226.6,7,2064.77,46,0,Mixed,Positive,69.6,Low,0.0,0
1047,3917.15,3508.59,0.27,recession,607.0,0.19,401.86,294.24,6,1613.93,52,0,Mixed,Negative,70.5,Medium,408.56,0
